x, y
0, 0.0038520801232664326
1.0164271047227926, -0.29275808936825864
2.002053388090349, -0.45069337442218815
2.9876796714579053, -0.5624036979969183
4.004106776180698, -0.6510015408320493
4.9897330595482545, -0.7280431432973806
6.006160164271047, -0.7935285053929122
6.991786447638604, -0.8551617873651771
8.008213552361395, -0.9013867488443759
8.993839835728952, -0.9476117103235748
9.979466119096509, -0.9899845916795069
10.995893223819301, -1.0362095531587057
11.981519507186858, -1.0708782742681047
12.99794661190965, -1.113251155624037
13.983572895277208, -1.147919876733436
15, -1.1825885978428352
15.985626283367555, -1.2172573189522342
16.971252566735114, -1.2519260400616332
17.95687885010267, -1.2827426810477658
18.97330595482546, -1.3174114021571648
19.989733059548254, -1.3559322033898304
20.97535934291581, -1.3828967642526964
21.930184804928132, -1.4175654853620956
22.977412731006158, -1.4445300462249615
23.993839835728952, -1.4714946070878274
25.010266940451743, -1.494607087827427
25.9958932238193, -1.5177195685670262
26.981519507186857, -1.544684129429892
27.99794661190965, -1.5755007704160247
28.983572895277206, -1.5947611710323575
30, -1.6178736517719567
